"76","加拿大國際學校","香港香港仔南朗山道36號及加拿大國際學校第2期","http://www.cdnis.edu.hk"
"77","迦南中英文幼稚園（沙頭角）","新界沙頭角沙頭角邨","http://www.cannan.edu.hk"
"79","迦南幼稚園（富榮花園）","九龍旺角海庭道8號富榮花園12座幼稚園地下至1樓","http://www.cannan.edu.hk"
"80","迦南幼稚園﹝香港﹞","香港香港仔南寧街13-23號香港仔中心1樓7B舖","http://www.cannan.edu.hk"
"81","迦南幼稚園（九龍塘）","九龍九龍塘金巴倫道9及11號地下及1樓","http://www.cannan.edu.hk"
"82","迦南幼稚園（麗港城）","九龍觀塘茶果嶺道麗港城第2期地下低層1樓","http://www.cannan.edu.hk"
"83","迦南幼稚園（海濱花園）","新界荃灣怡康街2-12號海濱花園平台B","http://www.cannan.edu.hk"
"84","迦南幼稚園（小西灣）","香港小西灣道18號富景花園地下及1樓","http://www.cannan.edu.hk"
"85","迦南幼稚園﹝荃灣﹞","新界荃灣海盛路28號祈德尊新邨商場一樓4號舖","http://www.cannan.edu.hk"
"86","迦南幼稚園（窩打老道）","九龍九龍塘窩打老道111號","http://www.cannan.edu.hk"
"87","迦南幼稚園（黃埔花園）","九龍紅磡黃埔花園第10期部分商場平台地下","http://www.cannan.edu.hk"
"88","嘉寶中英文幼稚園（粉嶺）","新界粉嶺聯和墟榮福中心商場2樓","http://www.carbo.edu.hk"
"89","明愛啟幼幼兒學校","九龍東頭邨富東樓地下1-8號","http://kyns.caritas.org.hk"
"90","明愛凌月仙幼稚園","香港薄扶林道54號地下至2樓","http://lyskg.caritas.org.hk"
"91","明愛香港太平洋獅子會幼兒學校","香港柴灣小西灣道9號富欣花園停車場地下","http://lcns.caritas.org.hk/"
"92","明愛堅尼地城幼兒學校","香港堅尼地城蒲菲路27號堅尼地城明愛服務中心A座2樓,B座1樓部份M1座2樓","http://ktns.caritas.org.hk"
"93","明愛鯉魚門幼兒學校","九龍觀塘鯉魚門邨鯉生樓地下B及C翼","http://lymns.caritas.org.hk"
"94","明愛沙田幼兒學校","新界沙田文禮路23-25號","http://stns.caritas.org.hk"
"95","明愛打鼓嶺幼兒學校","新界粉嶺打鼓嶺坪輋路明愛打鼓嶺中心地下","http://tklns.caritas.org.hk"
"96","明愛翠林幼兒學校","新界將軍澳翠林邨碧林樓306-313號","http://tlns.caritas.org.hk"
"97","明愛油塘幼兒學校","九龍油塘鯉魚門道60號第2層平台","http://ytns.caritas.org.hk/"
"98","明愛聖方濟各幼稚園","香港中環堅道2號明愛中心B座4樓","http://sfkg.caritas.org.hk"
"99","明愛香港崇德社幼兒學校","新界粉嶺華明邨富明樓地下","http://zcns.caritas.org.hk"
"100","CARMEL SCHOOL","香港半山羅便臣道70號3-4樓","http://www.carmel.edu.hk"
"101","CASA DEI BAMBINI KINDERGARTEN","香港皇后大道西419K號博仕臺地下2號舖及地下1層3號舖","--"
"102","世德幼稚園","新界元朗天水圍天華邨服務設施大樓3樓1號幼稚園","http://www.castar.edu.hk"
"103","世德幼稚園（梨木樹）","新界葵涌梨木樹邨翠樹樓地下","http://www.castar.edu.hk"
"104","嘉德麗中英文幼稚園","新界沙田第一城34,35及36座地下","http://www.catiline.edu.hk"
"105","嘉德麗幼稚園","新界沙田沙田第一城32座地下","http://www.catiline.edu.hk"
"106","嘉德麗幼稚園（粉嶺）","新界粉嶺粉嶺中心第1期商場地下","http://www.catiline.edu.hk"
"107","嘉德麗幼稚園（黃埔）","九龍黃埔花園第3期翠楊苑平台1樓","http://www.catiline.edu.hk"
"108","銅鑼灣維多利亞國際幼稚園","香港銅鑼灣興發街32-36號3樓及天台","http://www.victoria.edu.hk"
"109","銅鑼灣維多利亞幼稚園","香港銅鑼灣興發街32-36號G-2樓","http://www.victoria.edu.hk"
"110","銅鑼灣維多利亞幼兒園","香港北角福蔭道1,3及5海峰園高峰閣第1座1樓","http://www.victoria.edu.hk"
"111","中華基督教會柴灣堂幼兒園","香港柴灣新翠花園政府合署2樓","http://www.ccccwcdn.edu.hk"
"112","中華基督教會長洲堂錦江幼稚園","新界長洲學校路14號","http://www.kamkongkg.edu.hk"
"113","中華基督教會全完幼稚園","新界葵涌葵涌邨葵涌商場3樓平台4號單位","http://cyk.ccc.edu.hk"
"114","中華基督教會香港志道堂基博幼稚園（將軍澳）","新界將軍澳廣明苑廣盈閣地下","http://www.keipok.edu.hk"
"115","中華基督教會福幼幼稚園","新界荃灣石圍角邨石翠樓14-17號地下","http://fykdc.ccc.edu.hk"
"116","中華基督教會福幼第二幼稚園","新界荃灣石圍角邨石蓮樓地下3-16,18及20號","http://fyn2kdc.ccc.edu.hk"
"117","中華基督教會基真幼稚園","九龍深水埗麗閣邨麗蘿樓114-127號","http://kck.ccc.edu.hk"
